normal_id,country_id,country_id_NAME_TEMP,month,period,period_NAME_TEMP,day_from,day_to,temp_min_c,temp_max_c,weather_condition_ids
NP0001,JP,일본,1,1,상순,1,10,0,9,sunny;windy
NP0002,JP,일본,1,2,중순,11,20,0,9,sunny;windy
NP0003,JP,일본,1,3,하순,21,31,0,9,sunny;windy
NP0004,JP,일본,2,1,상순,1,10,0,9,sunny;windy
NP0005,JP,일본,2,2,중순,11,20,1,12,sunny;windy
NP0006,JP,일본,2,3,하순,21,29,2,11,sunny;windy
NP0007,JP,일본,3,1,상순,1,10,4,13,sunny;windy;rain
NP0008,JP,일본,3,2,중순,11,20,4,15,sunny;windy
NP0009,JP,일본,3,3,하순,21,31,6,15,sunny;windy;rain
NP0010,JP,일본,4,1,상순,1,10,8,17,sunny;windy;rain
NP0011,JP,일본,4,2,중순,11,20,9,19,sunny;windy;rain
NP0012,JP,일본,4,3,하순,21,30,12,20,sunny;windy;rain
NP0013,JP,일본,5,1,상순,1,10,13,22,sunny;windy;rain
NP0014,JP,일본,5,2,중순,11,20,15,23,sunny;windy;rain
NP0015,JP,일본,5,3,하순,21,31,16,25,sunny;windy;rain
NP0016,JP,일본,6,1,상순,1,10,17,25,sunny;rain
NP0017,JP,일본,6,2,중순,11,20,18,26,rain
NP0018,JP,일본,6,3,하순,21,30,20,27,rain
NP0019,JP,일본,7,1,상순,1,10,22,29,windy;rain
NP0020,JP,일본,7,2,중순,11,20,23,30,sunny;rain
NP0021,JP,일본,7,3,하순,21,31,24,31,sunny;rain
NP0022,JP,일본,8,1,상순,1,10,25,32,sunny;rain
NP0023,JP,일본,8,2,중순,11,20,24,31,sunny;windy;rain
NP0024,JP,일본,8,3,하순,21,31,24,31,sunny;rain
NP0025,JP,일본,9,1,상순,1,10,22,29,sunny;rain
NP0026,JP,일본,9,2,중순,11,20,21,28,sunny;rain
NP0027,JP,일본,9,3,하순,21,30,19,25,sunny;rain
NP0028,JP,일본,10,1,상순,1,10,17,24,sunny;windy;rain
NP0029,JP,일본,10,2,중순,11,20,14,21,sunny;rain
NP0030,JP,일본,10,3,하순,21,31,12,19,sunny;rain
NP0031,JP,일본,11,1,상순,1,10,10,19,sunny;rain
NP0032,JP,일본,11,2,중순,11,20,9,17,sunny;rain
NP0033,JP,일본,11,3,하순,21,30,6,15,sunny;rain
NP0034,JP,일본,12,1,상순,1,10,4,13,sunny
NP0035,JP,일본,12,2,중순,11,20,2,11,sunny
NP0036,JP,일본,12,3,하순,21,31,1,10,sunny
NP0037,VN,베트남,1,1,상순,1,10,15,22,rain
NP0038,VN,베트남,1,2,중순,11,20,14,21,rain
NP0039,VN,베트남,1,3,하순,21,31,14,20,rain
NP0040,VN,베트남,2,1,상순,1,10,15,21,cloudy;rain
NP0041,VN,베트남,2,2,중순,11,20,16,23,cloudy
NP0042,VN,베트남,2,3,하순,21,29,16,23,cloudy
NP0043,VN,베트남,3,1,상순,1,10,18,25,cloudy;rain
NP0044,VN,베트남,3,2,중순,11,20,20,26,cloudy;rain
NP0045,VN,베트남,3,3,하순,21,31,20,27,rain
NP0046,VN,베트남,4,1,상순,1,10,20,28,rain
NP0047,VN,베트남,4,2,중순,11,20,22,29,rain
NP0048,VN,베트남,4,3,하순,21,30,23,30,rain
NP0049,VN,베트남,5,1,상순,1,10,24,32,sunny;rain
NP0050,VN,베트남,5,2,중순,11,20,25,32,sunny;rain
NP0051,VN,베트남,5,3,하순,21,31,26,32,sunny;rain
NP0052,VN,베트남,6,1,상순,1,10,26,33,sunny;rain
NP0053,VN,베트남,6,2,중순,11,20,27,34,sunny;rain
NP0054,VN,베트남,6,3,하순,21,30,27,34,sunny;rain
NP0055,VN,베트남,7,1,상순,1,10,27,33,sunny;rain
NP0056,VN,베트남,7,2,중순,11,20,26,33,sunny;rain
NP0057,VN,베트남,7,3,하순,21,31,26,32,sunny;rain
NP0058,VN,베트남,8,1,상순,1,10,26,32,sunny;rain
NP0059,VN,베트남,8,2,중순,11,20,26,32,sunny;rain
NP0060,VN,베트남,8,3,하순,21,31,26,32,sunny;rain
NP0061,VN,베트남,9,1,상순,1,10,25,31,sunny;rain
NP0062,VN,베트남,9,2,중순,11,20,25,31,sunny;rain
NP0063,VN,베트남,9,3,하순,21,30,24,30,sunny;rain
NP0064,VN,베트남,10,1,상순,1,10,23,30,sunny;rain
NP0065,VN,베트남,10,2,중순,11,20,21,28,sunny;rain
NP0066,VN,베트남,10,3,하순,21,31,21,28,sunny;rain
NP0067,VN,베트남,11,1,상순,1,10,20,27,sunny
NP0068,VN,베트남,11,2,중순,11,20,20,27,sunny;rain
NP0069,VN,베트남,11,3,하순,21,30,18,24,sunny
NP0070,VN,베트남,12,1,상순,1,10,15,22,cloudy
NP0071,VN,베트남,12,2,중순,11,20,14,21,cloudy
NP0072,VN,베트남,12,3,하순,21,31,14,21,cloudy
NP0073,CN,중국,1,1,상순,1,10,-7,3,sunny
NP0074,CN,중국,1,2,중순,11,20,-7,2,sunny
NP0075,CN,중국,1,3,하순,21,31,-7,2,sunny
NP0076,CN,중국,2,1,상순,1,10,-6,4,sunny
NP0077,CN,중국,2,2,중순,11,20,-5,6,sunny
NP0078,CN,중국,2,3,하순,21,29,-4,8,sunny
NP0079,CN,중국,3,1,상순,1,10,-2,12,sunny
NP0080,CN,중국,3,2,중순,11,20,1,15,sunny
NP0081,CN,중국,3,3,하순,21,31,3,18,sunny
NP0082,CN,중국,4,1,상순,1,10,6,20,sunny
NP0083,CN,중국,4,2,중순,11,20,9,23,sunny
