wmo_code,wmo_desc_kr,weather_condition_id,weather_condition_id_NAME_TEMP
0,맑음,sunny,맑음
1,대체로 맑음,sunny,맑음
2,부분적 흐림,cloudy,구름
3,흐림,cloudy,구름
45,안개,cloudy,구름
48,착빙 안개,cloudy,구름
51,약한 이슬비,rain,비
53,이슬비,rain,비
55,강한 이슬비,rain,비
56,약한 어는 이슬비,rain,비
57,어는 이슬비,rain,비
61,약한 비,rain,비
63,비,rain,비
65,강한 비,rain,비
66,약한 어는 비,rain,비
67,어는 비,rain,비
71,약한 눈,snow,눈
73,눈,snow,눈
75,강한 눈,snow,눈
77,싸락눈,snow,눈
80,약한 소나기,rain,비
81,소나기,rain,비
82,강한 소나기,rain,비
85,약한 소낙눈,snow,눈
86,소낙눈,snow,눈
95,뇌우,rain,비
96,우박 동반 약한 뇌우,rain,비
99,우박 동반 강한 뇌우,rain,비
