분류,이름,화면 페이지,비고,코드,상태,버전
추가,기존 일정과 겹치는 날짜로 일정 생성시 확인 다이얼로그 노출,"A-02, EC",여행 “날짜” 중 겹치는 날이 하루라도 있을 시 노출,CHG-044,수정대기,"2차, 3차"
수정,생성 후 한번도 확인하지 않은 일정에 NEW 일정 칩이 뜨는지 확인,B-01,원하는 NEW가 아니라 신규로 뜸,CHG-054,수정대기,3차
"수정, 중요","아이콘 버튼 크기, 정렬 수정","B-01, C-01, C-02, E-01","디자인 가이드에 추가 명세
  • 미트볼, 케밥, 인포, 하트, 편집, 삭제",CHG-007,수정대기,"2차, 3차"
수정,구분선이 아이템 리스트에 따라 두께가 다르게 보임,C-01,,CHG-056,수정대기,3차
수정,"체크, 정보, 하트 아이콘 세로 중앙정렬, 코멘트가 없는 아이템은 아이템 영역 안에서 세로 중앙정렬로 수정",C-01,(아이템 영역 자체의 크기도 코멘트와 있는 것과 없는 것이 다름),CHG-055,수정대기,3차
"수정, 중요","아이템명이 길 경우, 줄바꿈이 되지 않고 영역을 벗어남",C-01,,CHG-051,수정대기,3차
"수정, 중요","카테고리명이 길 경우, 줄바꿈이 되지 않고 영역을 벗어남",C-01,,CHG-050,수정대기,3차
"중요, 추가",체크리스트 홈 하단 플로팅 카운터 색상이 디자인 명세와 다름(디자인 가이드 참고),C-01,,CHG-048,수정대기,3차
추가,"정보 안내 모달 전체적 수정
“정보 안내” 타이틀 삭제
“정보 안내” 아래 구분선 삭제
정보 안내 모달 내 리스트에 chevron 버튼
부가설명 회색 박스 구현 안 됨
확인 버튼 삭제",C-05,,CHG-063,수정대기,3차
"중요, 추가",30자 이상 입력 시 토스트 노출,D-01,30자 이상 입력해도 토스트 노출이 안되는 현상 계속됨,CHG-026,수정대기,"2차, 3차"
"수정, 중요",직접 입력 다이얼로그 UI 이상 수정,D-01,"  • 입력 필드 커서 위치 이상
  • 글자가 입력 필드 넘어갈 시 줄바꿈(완료)",CHG-025,수정대기,"2차, 3차"
수정,편집 화면 내 삭제율이 높은 아이템의 코멘트 변경,E-01,,CHG-047,수정대기,"2차, 3차"
수정,연필 버튼으로 수정 완료 불가,E-02,연필 버튼이 수정 모드로 안 바뀌어서 연필 버튼을 눌러 수정 시작만 되고 완료를 할 수 없음,CHG-058,수정대기,3차
수정,연필 아이콘 수정 시 색상 변동 없음,E-02,"파란색으로 변동, X 아이콘도 사라져야 함",CHG-057,수정대기,3차
수정,"나만의 준비물 카테고리 삭제 시 해당 카테고리의 아이템 모두 삭제 및 연동된 아이템 모두 삭제. 카테고리 추가에 “나만의 준비물” 추가. 새로고침 시 자동으로 “나만의 준비물” 추가 삭제.
해당 카테고리 추가 시 아이템이 담기지 않은 “나만의 준비물” 카테고리가 추가.",F-01,,CHG-064,수정대기,3차
수정,"아이콘 버튼, 텍스트 필드, 플러스 아이콘 정렬 및 아이템 항목 영역 크기 조정",G-01,"아이콘 버튼, 텍스트 필드, 플러스 아이콘 세로 중앙정렬",CHG-059,수정대기,3차
"수정, 중요",텍스트 필드 미입력 시 + 버튼 비활성화,G-01,,CHG-034,수정대기,"2차, 3차"
"중요, 추가",텍스트 필드 30자 이상 입력 시 토스트 노출,G-01,30자 이상 입력해도 토스트 노출이 안되는 현상 계속됨,CHG-035,수정대기,"2차, 3차"
"수정, 중요",서로 다른 공유 링크를 돌아가며 클릭하여 페이지 진입 시 의도하지 않은 계정의 여행 홈으로 접속됨,ETC,쿠키 및 캐시 삭제 후 공유 링크 클릭 시 정상적인 계정의 여행 일정 홈으로 접속되는 것을 확인함,CHG-053,수정대기,3차
"중요, 추가",CSV로 제출한 데이터 목록이 웹페이지 내장이 아닌 supabase DB에 위치해 편집이 가능한 상태여야 함,ETC,,CHG-049,작성필요,3차
